case,status,meeting_id,job_id,job_status,notes_json,notes_markdown,error
M01,completed,386,e70fa2a3-c961-4e2c-ad82-b1ac6ad071be,succeeded,qa_results/baseline_30_60min_before/M01_generated_notes.json,qa_results/baseline_30_60min_before/M01_generated_notes.md,
M02,completed,387,52b29045-7cd7-4889-95bf-5ef2a3be145c,succeeded,qa_results/baseline_30_60min_before/M02_generated_notes.json,qa_results/baseline_30_60min_before/M02_generated_notes.md,
M03,completed,388,4fab031c-cf36-4b23-bc98-c2988f582dd5,succeeded,qa_results/baseline_30_60min_before/M03_generated_notes.json,qa_results/baseline_30_60min_before/M03_generated_notes.md,
M04,completed,389,e0527441-ac01-421e-8184-5c86c726025b,succeeded,qa_results/baseline_30_60min_before/M04_generated_notes.json,qa_results/baseline_30_60min_before/M04_generated_notes.md,
